player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Álvaro Negredo,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,0,1,0
Ömer Uzun,super-lig,first_tier,domestic_league,0,0,1,1
Connor McLennan,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,1
Robert Mejía,super-lig,first_tier,domestic_league,6,0,1,0
Deyverson,dfb-pokal,domestic_cup,domestic_cup,0,0,1,0
Jack Payne,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Jesé,serie-a,first_tier,domestic_league,0,0,1,1
Ridvan Simsek,super-lig,first_tier,domestic_league,7,0,1,0
Andriy Yarmolenko,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Leandro Souza,liga-portugal-bwin,first_tier,domestic_league,1,0,1,1
Imoh Ezekiel,europa-league,europa_league,international_cup,1,0,1,0
Jack Stephens,fa-cup,domestic_cup,domestic_cup,2,0,1,1
Clint Leemans,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,1
Andrej Kramaric,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Érick Gutiérrez,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,1,0,1,1
Andreas Weimann,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Tom Beugelsdijk,toto-knvb-beker,domestic_cup,domestic_cup,4,0,1,0
Andreas Christensen,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Jacob Murphy,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Sascha Mölders,bundesliga,first_tier,domestic_league,1,0,1,0
Mathiola,liga-portugal-bwin,first_tier,domestic_league,1,0,1,0
Jaden Philogene,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Jadon Sancho,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Jairo Riedewald,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Anri Khagush,premier-liga,first_tier,domestic_league,16,0,1,4
Gökhan Inler,serie-a,first_tier,domestic_league,4,0,1,0
Nikola Vlasic,russian-cup,domestic_cup,domestic_cup,0,0,1,1
Vincent Janssen,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,0
Maksim Mukhin,premier-liga,first_tier,domestic_league,17,0,1,2
